Title,Total Count,Unique Count
"It is : a magazine for abstract art, 1958-1965",1,1
"David Smith sketchbook, 1954-1969",1,1
"Barbara Whipple Heilman papers relating to Luigi Rist, 1941-1971",1,1
"Federal Art Project negatives of art and craft work, 1936-1940",1,1
"Walter Horn papers, 1908-1992, bulk 1943-1950",1,1
"William Ordway Partridge papers, 1879-1920",1,1
"Federal Art Project records of Adele Clark, 1931-1963",1,1
"Lilla Cabot Perry sketchbook, 1871-1885",1,1
"William Morris Hunt letters and photographs, ca.1873-1898",1,1
"Eleanor Green letters, 1967-1968",1,1
"Oregon Federal Art Project records, 1936-1939",1,1
"Kenneth and Emma-Stina Prescott research material on artists, 1919-2001, bulk 1973-1991",1,1
"Sketch Club minutes, 1844-1869",1,1
"Peggy Bacon and Alexander Brook letters, 1940-1967",1,1
"Judith Godwin printed material, 1981-1984, 1992-1996",1,1
"John A. Parker papers, 1959-1980",1,1
"Ethel Schwabacher papers, 1939-1975",1,1
"Myron Barlow letters to Lawton S. Parker, 1933",1,1
"Irma Jaffe interviews, 1965-1977",1,1
"Olinka Hrdy papers, 1913-1955",1,1
"Charles Emile Jacque photograph, ca. 1971",1,1
"Joseph Jackson papers, 1913-1946",1,1
"The restoration of oil paintings microform, with a few practical hints to the owner of pictures, 1859",1,1
"History of the Dallas Print and Drawing Collectors Society / by Violet Hayden Dowell, undated",1,1
"Susan Schwalb papers, 1961-2014",1,1
"Louie H. Ewing papers, ca. 1940-1982",1,1
"Werner Drewes papers, 1838-2015, bulk 1890-1990",1,1
"The Use of Power and Color, by Frederick J. Schwankovsky, 1931",1,1
"Daniel Jacobs and Derek Mason papers, circa 1970-1993",1,1
"Philip Evergood interview, 1959 June",1,1
"Stephen Parrish letter, 1887 Mar. 28",1,1
"Hal Glicksman papers relating to California artists, 1936-2010, bulk 1960-1974",1,1
"Barbara Neville Parker papers, 1937-1965",1,1
"Elsie Driggs papers, 1924-1979",1,1
"Irene Rice Pereira papers, 1930-1972",1,1
"Hugo Robus sculpture graphic / Carroll Siskind photographer, 1944-1958",1,1
"Balcomb and Gertrude Greene papers, circa 1880s-2009",1,1
"Claire Falkenstein papers, circa 1914-1997, bulk 1940-1990",1,1
"The Drawings of Abbott Thayer/ Elizabeth Robins Pennell letter, ca. 1921",1,1
"Josef Presser and Agnes Hart papers, 1913-1980, bulk 1940-1980",1,1
"Harold Paris papers, 1946-1982",1,1
"Art and democracy, 1910",1,1
"Eric Hudson and Hudson family papers, 1900-1992",1,1
"Isabella Howland papers, 1899-1979",1,1
"Calvin Douglass papers, 1954-1995",1,1
"John Douglass papers, 1923-1938",1,1
"Everett Ellin Gallery records relating to David Smith, 1960-1963",1,1
"PWAP Region 15 (Calif.) records, 1934-1964",1,1
"Samuel Adams Green exhibition catalog collection, 1964-1969",1,1
"Papers relating to Avard T. Fairbanks, 1944-2008",1,1
"Avard T. Fairbanks scrapbook, 1911-1981",1,1
"Bela L. Pratt papers, 1876-1986",1,1
"David and Helen Pall papers relating to Philip Evergood, 1966-1969",1,1
"Charles Hopkinson papers, 1892-1993",1,1
"Grace Spaulding John papers, 1890-1972",1,1
"Malvina Hoffman letters and photographs, circa 1925-1937",1,1
"Joan Snyder papers, circa 1960-2010",1,1
"Allen Philbrick papers, 1902-1990",1,1
"White Marble: The Life and Letters of Hiram Powers, Sculptor, 196-?",1,1
"Blanche Mary Aronson photographs of works of art, 1934-1938",1,1
"A survey of art work in the city and county of San Francisco, / by Martin Snipper for the art commission, city and county of San Francisco, 1950",1,1
"Edith Emerson papers, 1839-1981, bulk 1894-1971",1,1
"Lily Harmon papers, 1930-1996",1,1
"Interview with Larry Rivers, 1960 Mar. 5 & Apr. 16",1,1
"Robert Fridenberg gallery records, 1921-1943",1,1
"Evan R. Firestone interview with Fritz Bultman, 1979",1,1
"Adelheid Lange Roosevelt papers, 1955-1959",1,1
"Hiram Powers letters, 1852 Apr. 4-Dec. 30",1,1
"Sidney Gross papers, 1939-1969",1,1
"Preston Powers letter, 1891 Nov. 28",1,1
"Werner and Yetta Groshans papers, 1928-1997",1,1
"Paula Gerard papers, 1885-1989",1,1
"History of Savannah Art Association / by Virginia Bowdoin Hoerner, 1978",1,1
"Perle Fine papers, 1940-1967",1,1
"Andrew Dreselly papers, 1900-1981",1,1
"Annita Delano papers, circa 1900-1975",1,1
"Lawrence and Barbara Fleischman papers, 1837-1984, bulk 1935-1979",1,1
"Jack Delano papers, 1939-1943",1,1
"Elizabeth Hamilton Thayer Huntington papers, ca. 1903-1961",1,1
"Reginald Johnson papers, 1921-1956",1,1
"Sandra Phillips research material on Walter Pach, 19--",1,1
"Papers relating to John Beaufain Irving, ca. 1966",1,1
"James J. Rorimer papers, 1921-1982, bulk 1943-1950",1,1
"Lillian Genth papers, 1904-1958",1,1
"John Bernard Flannagan papers, 1923-1958",1,1
"John Sartain letters, 1864-1897",1,1
"Research material on Reginald Marsh, 1921-1975",1,1
"David Hare papers, 1944-1969",1,1
"Society of Arts and Crafts records, 1899-1960",1,1
"Richard Fitzgerald papers, 1930-1972",1,1
"Photographs of artists taken by Dena, 1964-1975",1,1
"Selma Rein research material on New Deal art, 1961-1968",1,1
"Xanthus Smith diaries, 1883-1892",1,1
"Twelfth annual exhibition of oil paintings by eminent American artists / Gill's Art Galleries, 1889",1,1
"Charles Stanley Reinhart drawings, ca. 1867-1879",1,1
"Robert O. Preusser papers, 1930-1990",1,1
"Winslow Homer letters to M. Knoedler and Company, 1900-1904",1,1
"Patricia Johanson papers, 1964-1998",1,1
"George A. Gilbert artworks, ca. 1810-1842.",1,1
"Richard Watson and Helena de Kay Gilder papers, 1874-1878",1,1
"Edwin Walter Dickinson papers, 1909-1971",1,1
"Jean Bergantini Grillo papers, 1962-1974",1,1
"Arthur J. Pulos papers, 1935-ca. 1980s, bulk 1947-1960",1,1
"Research material on Stephan Hirsch, 1926-1981",1,1
"Beatrice Fenton papers, 1836-1984, bulk 1890-1978",1,1
"Material relating to Josephine W. Duveneck, circa 1969-1982",1,1
"Rachael Griffin papers, 1900-1983",1,1
"William Hunt Diederich papers, 1900-1976",1,1
"Edward Dugmore papers, 1937-1993",1,1
"April Kingsley and Budd Hopkins papers, circa 1945-2017",1,1
"Pop Art symposium, 1963 Aug. 28",1,1
"Judson Smith papers, 1887-1975",1,1
"Clare Ferriter papers, 1930-1978",1,1
"Fine Arts Museums of San Francisco interviews with artists, 1982",1,1
"Randolph Rogers papers, 1848-1964",1,1
"Esther G. Rolick papers, 1940-1985",1,1
"Louis Schaettle papers, 1899-1916",1,1
"John Held papers relating to mail art, 1947-2018, bulk 1973-2013",1,1
"Panel discussion, ""The Rouge: the image of industry in the art of Charles Sheeler and Diego Rivera"", 1978 Sept. 20",1,1
"Exhibition records of the Contemporary Study Wing of the Finch College Museum of Art, 1943-1975, bulk 1964-1975",1,1
"Boris Deutsch papers, circa 1912-1979",1,1
"W. Herbert Dunton papers, 1896-1960",1,1
"William Preston Phelps and Ina Phelps Hayward papers, 1849-2001, bulk 1890s-1920s",1,1
"Lecture given by Ad Reinhardt, 1966 Jan",1,1
"Millard F. Rogers, Jr. research material relating to Junius Brutus Stearns, 1972-2008",1,1
"William Harnett sketches, 1870",1,1
"Virginia Field papers, 1951-1973",1,1
"Nathan Oliveira papers, 1951-1985",1,1
"Robert Isaacson Gallery records, 1952-1967",1,1
"Margery Hoffman Smith papers relating to Timberline Lodge, Oregon, 1939-1948",1,1
"Harold C. Dunbar papers, 1906-1911",1,1
"William Valentine Schevill papers, ca. 1880-1935",1,1
"Lee Hall papers, circa 1870s-2017, bulk 1975-2010",1,1
"Joyce Treiman papers, 1942-1992, 1942-1992",1,1
"Paul Bransom papers, 1862-1985",1,1
"Richard Kozlow papers, 1926-1974",1,1
"Oliver Ingraham Lay, Charles Downing Lay, and Lay Family papers, 1789-2000, bulk 1870-1996",1,1
"Ethel Magafan photograph and printed material, 1950-1982",1,1
"Selected papers relating to James McNeill Whistler in the New York Public Library, 1830-1950",1,1
"Art Information Center records, 1945-1983",1,1
"James McNeill Whistler collection in the University of Glasgow, Special Collections, ca. 1830-1963.",1,1
"Charles Donagh Maginnis papers, 1900-1980",1,1
"Waintrob-Budd photographs of American artists, 1953-1980",1,1
"Whitney Chadwick papers, 1945-2019",1,1
"Women in the Arts Foundation records, 1971-1979",1,1
"Harriet Endicott Waite research material relating to Currier & Ives, 1923-1956",1,1
"Seong Moy papers, 1946-1970",1,1
"Pietro Lazzari papers, 1878-1998",1,1
"Will Bradley papers, 1882-1962",1,1
"Kenneth Russell Chamberlain papers, 1917-1972",1,1
"Alice Graeme Korff papers, ca.1938-1941",1,1
"Chaim and Dorothy Koppelman papers, circa 1930s-2006, bulk 1942-2005",1,1
"Jacqueline Moss papers relating to painter Gertrude Greene, 1980-1981",1,1
"David Aronson papers, 1935-1983",1,1
"Henry Major papers, 1922-1950",1,1
"Henry Mosler papers, 1856-1929",1,1
"Paul Wonner photographs and printed material, ca. 1956-2005",1,1
"Dada and Surrealism in America : a symposium in honor of Man Ray, symposium records, 1988",1,1
"Artist Tenants Association records, 1959-1978",1,1
"Arts & Architecture (magazine) records, 1950-1980",1,1
"Kraushaar Galleries records, 1877-2006",1,1
"John Frederick and Mary Horgan Mowbray-Clarke papers, 1887-1965, bulk 1887-1925",1,1
"John Von Wicht papers, 1950-1970",1,1
"Alexander Z. Kruse papers, 1888-1972",1,1
"Dorothy Bridaham scrapbooks, 1938-1964",1,1
"William Miller papers, 1880-1961",1,1
"Alfred Thompson Bricher papers, 1860-1892",1,1
"Helen Treadwell papers, 1952-1968",1,1
"Alger Beal papers relating to Reynolds and Gifford Beal, circa 1890-1965",1,1
"Olin Travis papers, 1928-1972",1,1
"Rebecca Beal papers, 1949-1982",1,1
"Carl and Olga Milles papers, 1933-1951",1,1
"Donald Bear papers, 1923-1960",1,1
"Panorama, battles of Chattanooga fought Nov. 23-25, 1863 by the armies of the Cumberland and Tennessee ... / permanently located south-east cor. Wabash Ave. and Hubbard Ct., American Panorama Co., proprietors, Chicago Illinois, ca. 1887",1,1
"Harold Tovish papers, ca. 1942-1995",1,1
"Henry Kreis papers, 1920-1963",1,1
"Adelyne Dohme Breeskin papers, circa 1934-1986",1,1
"Castano Galleries records, 1907-1983",1,1
"Hugh Henry Breckenridge papers, 1903-1976",1,1
"National Academy of Design letterbook, 1891-1916",1,1
"Ernest Wadsworth and Harriet Spelman Longfellow sketchbooks, 1867-1903",1,1
"National Arts Club records, 1898-1960",1,1
"Anne Arnold papers, circa 1925-2015",1,1
"Audiovisual materials relating to the documentary Beatrice Wood: Mama of Dada, 1990-1993",1,1
"Daniel Varney Thompson papers, 1848-1979, bulk 1923-1979",1,1
"Roger Brown, Richard Hunt, John Hegarty videorecording / Archives of American Art, produced by American Film House ; exec. producer, Dennis Barrie ; producers, Linda Abramsky and Ralph Graham ; director, cinematographer, Charles Cirgenski, 1983",1,1
"Margaret Bouton papers, 1945-1978",1,1
"John Koch papers, 1935-1978",1,1
"Alice Brown Chittenden papers, 1860-1974",1,1
"In celebration motion picture : the four corners project by David Barr / Archives of American Art; editors, Charles F. Cirgenski and Linda Abramsky, 1985",1,1
"Dorothy Varian papers, circa 1902-1984",1,1
"Stephan Bourgeois papers, 1908-circa 1964",1,1
"Dorothy Woodward Collection of printed materials on Southwestern artists, 1950-1957",1,1
"Arthur N. Christie papers, 1940-1978",1,1
"Peppino Mangravite papers, 1918-1982",1,1
"John Steuart Curry and Curry home graphic / Thomas Tenney, 1941 Aug",1,1
"William Christopher papers, circa 1920s-circa 1973",1,1
"Architectural League of New York records, 1880s-1974",1,1
"Millard Meiss Papers, circa 1918-circa 1977, bulk 1950-1975",1,1
"Stanley Woodward papers, 1875-1970, bulk 1905-1970",1,1
"New Britain Museum of American Art records, 1907-1978",1,1
"Archer M. Huntington Art Gallery exhibition files, 1948-1981",1,1
"E. Middleton Manigault correspondence and account book, 1906-1950",1,1
"Douglas Leigh Papers, 1903-1999",1,1
"Carlo Ciampaglia papers, 1909-1978",1,1
"David Bourdon papers, 1941-1998",1,1
"Eleanore Lockspeiser papers, 1918-1982",1,1
"Joan Mitchell correspondence with Sue Ann Kendall, 1987",1,1
"Roy R. Neuberger papers, 1940-1979",1,1
"Bob Thompson papers, 1949-2005",1,1
"What is Feminist Art? questionnaire responses, 2019",1,1
"Victor Mikhail Arnautoff papers, circa 1920-2017, bulk 1920-1953",1,1
"Yvonne Thomas papers, 1955-1979",1,1
"Ed Moses papers, 1954-1980",1,1
"Richard Thomas papers, 1968-1979",1,1
"Maryette Charlton papers, circa 1890-2013",1,1
"Hilda and Martha Wood Belcher photographs, circa 1865-1940",1,1
"Return from Bohemia by Grant Wood, 1941",1,1
"Ruth Armer papers, 1911-1976",1,1
"Howard Finster interview and recordings, 1981-1982",1,1
"Byron Thomas papers, 1904-1978",1,1
"Edward Arcenio Chavez papers, 1917-1982, bulk 1941-1973",1,1
"Thomas V. Robinson Fine Arts Gallery records, ca. 1977-1983",1,1
"William G. Bowdoin letters, 1917-1922",1,1
"Photographs of Eastman Johnson portraits, 1963",1,1
"Wayne Thiebaud papers, 1944-2001",1,1
"Chester County Art Association records, 1912-1942",1,1
"Miscellaneous engravings graphic, 1820-ca.1920",1,1
"Photographs of a meeting of the Chicago Society of Etchers, 1912",1,1
"Polly Thayer (Starr) papers, 1846-2008, bulk 1921-2008",1,1
"Sam Maloof papers, 1954-2003",1,1
"Thayer Gallery records, 1969-1972",1,1
"Stanford White papers, 1873-1920",1,1
"The Identification of the artisan and artist : the proper object of American education / illustrated by a lecture of Cardinal Wiseman ; with an essay on Froebel's reform of primary education by Elizabeth P. Peabody, 1869",1,1
"Francis Henry Taylor papers, 1950-1958",1,1
"William J. and Jane Brown papers, circa 1940-2014",1,1
"John Barber papers, 1911-1975",1,1
"George Elbert Burr papers, 1885-1972",1,1
"Bryson Burroughs papers, 1915-1922 and undated",1,1
"Wilhelm Reinhold Valentiner papers, 1853-1977",1,1
"George Loring Brown sketchbook and engravings and Harriet Pease Brown diary, 1836-1841",1,1
"De Wain Valentine papers, 1967-1976",1,1
"Valentine Gallery records, circa 1890-circa 1960",1,1
"Minutes of a communist cell on art : anonymous, but believed unquestionably authentic by competent authorities reveals the party's tactics re: ""modern art"", c1960",1,1
"Matt Mullican papers, circa 1968-2017",1,1
"Ira Lake papers, 1888-1954",1,1
"Edward Pierre and Mary Willard Vine Buyck papers, 1914-1971",1,1
"Henri Cartier-Bresson photographs of artists collection / Henri Cartier-Bresson, 1968",1,1
"Slides of WPA + 35 exhibition, 1970",1,1
"John Rector Barton papers, 1939-1962",1,1
"Edward Mitchell Bannister scrapbook, 1866-1901",1,1
"Section of Fine Arts selected administrative records and correspondence, 1934-1943",1,1
"Edward H. La Farge papers, 1928-1974",1,1
"Jerome Caja papers, circa 1920-1995",1,1
"Public Works of Art Project and Treasury Section bulletins, 1934-1941",1,1
"Macena Barton papers, 1839-1985, circa 1670",1,1
"Earle and Mary Ludgin papers, 1930-1983",1,1
"Artists' biographical data and clippings, 1939-1958",1,1
"Joellen Bard's, Ruth Fortel's, and Helen Thomas' exhibition records of Tenth Street Days: The Co-ops of the 50s, 1953-1977",1,1
"Milton Wolf Brown papers, 1908-1998",1,1
"Charles T. Williams papers, 1949-1966",1,1
"Jack Lenor Larsen papers, 1941-2003",1,1
"Alberto Vargas papers, 1914-1985",1,1
"Margit Varga papers, 1931-1985",1,1
"Malcolm Vaughan papers, 1920-1962",1,1
"C. J. (Clarence Joseph) Bulliet papers, circa 1888-1959",1,1
"Paul Wayland Bartlett papers, 1887-1925",1,1
"Louis Alexander Gallery records, 1953-1963",1,1
"John Wilde papers, 1935-2011",1,1
"Norman Barr papers, 1941-1975",1,1
"Antonio Barone scrapbook, 1906-ca. 1940s",1,1
"Elihu Vedder letters, 1870-1880 and undated",1,1
"Arthur B. Wilder papers, ca. 1866-1944",1,1
"John W. Venable journal, 1840-1842",1,1
"Alfred Jacob Miller manuscript and sketches, undated and 1837",1,1
"Marchal Landgren Papers, 1881-circa 1982, bulk 1930-1975",1,1
"Vickery, Atkins & Torrey records, undated and 1901-1930",1,1
"Burt Barnes papers, 1909-1977",1,1
"Truman Howe Bartlett scrapbook, circa 1880-1911",1,1
"Howard W. Willard papers, 1945-ca. 1977",1,1
"David Burliuk papers, 1926-1980",1,1
"Midwest Women's Artist Conference photographs, 1975",1,1
"Calvin Burnett papers, 1920-1979, bulk 1960s-1970s",1,1
"Albert Laessle papers, 1897-1971",1,1
"United States Centennial Commission records, 1876-1879",1,1
"Los Angeles Art Association records, 1922-1990",1,1
"Five ways of looking at the medium : typescript, by William Wilson, ca. 1970 /",1,1
"William Wilson papers, 1942-2013",1,1
"Mitch Tuchman papers relating to the book Painters Painting, 1980-1989",1,1
"Matthew Baigell papers, ca. 1965-1985",1,1
"Yasuo Kuniyoshi papers, 1906-2016, bulk 1920-1990",1,1
"Maurice Tuchman interviews, 1976",1,1
"Willem Volkersz interviews, 1975-1985",1,1
"George Tsutakawa papers, 1963-1991",1,1
"Carlen Galleries, Inc., records, 1775-1997, bulk 1940-1986",1,1
"Arthur B. Carles letter to Alfred Stieglitz, ca. 1911",1,1
"Lyme Historical Society records, undated and 1882-1986",1,1
"Alice Baber papers, 1934-1983",1,1
"Fritzi Brod papers, 1932-1977",1,1
"Correspondence and printed material regarding Mail art, circa 1980-2013",1,1
"Samuel Putnam Avery papers, 1857-1902",1,1
"Betty Carpenter papers, circa 1867-1971, bulk 1927-1963",1,1
"Marcella Comès (Winslow) papers, 1915-1982 and undated",1,1
"Carrig-Rohane Shop records, 1903-1962",1,1
"Willard Leroy Metcalf sketchbooks, 1879-1882",1,1
"Robert Lee MacCameron papers, 1896-1913",1,1
"Barbara Aubin papers, circa 1867-2006, bulk 1940-2014",1,1
"Lorence-Monk Gallery records, 1961-1992",1,1
"Yasuo Kuniyoshi letters to Myra Miller, 1932-1944 and undated",1,1
"Vernon Howe Bailey photographs, ca. 1933",1,1
"Adele S. Brown papers, 1935-1982",1,1
"Alfred James Tulk papers, 1923-1986",1,1
"Anna Coleman Ladd papers, 1881-1950",1,1
"John Henri Isaac Browere letter, 1826 July 12",1,1
"The mind of Thomas Cole/ by Kenneth James LaBudde, undated",1,1
"Ultra Violet papers, 1959-1969",1,1
"Virginia Museum of Fine Arts records, 1919-1981",1,1
"Stephen Robeson Miller research material on Kay Sage, 1898-1983",1,1
"Lucien and Marcelle Labaudt papers, 1896-1987",1,1
"Dorothy Tyler papers, 1921-1959",1,1
"School of the Museum of Fine Arts, Boston records, 1876-1962",1,1
"Photographs of Morris Brose and his work, ca. 1950-1970",1,1
"James Brooks and Charlotte Park papers, 1909-2010, bulk 1930-2010",1,1
"Museum of Temporary Art records, 1974-1982",1,1
"John La Farge and La Farge family papers, 1850-1972",1,1
"Patty Baker photographs, undated",1,1
"Dorothy and Herbert Vogel papers, 1960s-2009",1,1
"John Wilson papers, circa 1939-1993",1,1
"Ethel Myers papers, 1913-1960",1,1
"Fernand Harvey Lungren letter, 1894",1,1
"Worthington Whittredge letter to John Ferguson Weir, 1871",1,1
"Douglas Volk and Leonard Wells Volk papers, circa 1858-1965, 2008, bulk 1870-1935",1,1
"Elenore Lust papers, circa 1940-1991, bulk 1943-1949",1,1
"Clare Leighton papers, 1931-1967",1,1
"Kathy Vargas papers, circa 1965-2016",1,1
"George L. K. Morris : artist and advocate of abstract art or how an american millionaire found meaning through modern art / by Dorian Hyshka Stross, undated",1,1
"Ruth Abrams papers, 1934-1983",1,1
"Mildred Constantine Papers, 1945-2008",1,1
"Water Color Club administrative record book, 1887-1916",1,1
"Modern Art School, 72 Washingon Sq. So., New York City, Summer school at Provincetown Mass. / under the direction of Frederic Burt & M. Musselman-Carr, 1917-18",1,1
"Hyman Bloom papers, 1936-1980",1,1
"ACA Galleries records, 1917-1963",1,1
"Franklin C. Watkins papers, 1909-1973",1,1
"Gordon Cook papers, 1956-1976",1,1
"Albuquerque Public Library artists' files, 1910-1982",1,1
"Ilse Martha Bischoff papers, 1893-1981",1,1
"Emil J. Bisttram papers, circa 1902-1983",1,1
"Henry Botkin papers, circa 1927-1982",1,1
"Karl Theodore Francis Bitter papers, 1887-circa 1977",1,1
"Ray Strong papers, 1925-1996",1,1
"Edward Kemeys letters to Edith Hibbard, 1896-1901",1,1
"John Joseph Earley : the man who made concrete beautiful / by Frederick William Cron, undated",1,1
"Maurice W. Berger correspondence with John Wilde, 1952-1959",1,1
"Lucienne Bloch photographs of murals, 1934-1937",1,1
"Mark Rothko Foundation records, 1976-1987",1,1
"Mel Alexenberg papers, circa 1950-1980",1,1
"Charles Moore papers, 1914-1917",1,1
"Mitchell Kennerley papers, 1912-1944",1,1
"Thomas Sully letters, 1831-1870",1,1
"Niveau Gallery scrapbooks, 1943-1947",1,1
"William Horace Littlefield papers, 1920-1969",1,1
"Edward Everett Oakes papers, undated and 1915-1960",1,1
"John Marin letter to Louis Kalonyme, 1953 July 7",1,1
"Howard Warshaw papers, ca. 1945-1977",1,1
"John Marin letters to Charles Duncan, 1946-1948",1,1
"Kentucky Arts Commission records, 1976-1979",1,1
"Marvin Cone papers, 1908-1977",1,1
"Marion Weeks papers, circa 1950-1963",1,1
"F. Luis Mora papers, 1891-1986, bulk 1891-1922",1,1
"Rudolph Weisenborn papers, 1919-1977",1,1
"William Lester papers, 1930-1980",1,1
"Florence Allen papers, 1920-1997",1,1
"Allen Memorial Art Museum records, 1916-1967",1,1
"F. Luis Mora art works and photograph, 1920-1937",1,1
"Jonathan Sturges papers, 1834-1866",1,1
"Betty Hoag McGlynn papers, 1934-1965",1,1
"Bruce Moore papers, 1925-1975",1,1
"Washington Allston letter fragment, 1818 Mar. 2",1,1
"Oscar E. Berninghaus correspondence, 1945-1951",1,1
"Raymond Steth papers, 1941-1989",1,1
"Rosalie Berkowitz collection of photographs, 1927-1950",1,1
"Marvin Lipofsky papers, 1954-2018",1,1
"Thornton Oakley papers, 1906-1953",1,1
"Philip Martiny papers, 1858-1973",1,1
"The Crayon, 1851-1861",1,1
"Phyllis Crawford papers relating to the Index of American Design, 1936-1963",1,1
"Allyn Cox papers relating to U.S. Capitol murals, 1970-1974",1,1
"Illustrations by William Glackens and letter from Ira Glackens, 1938",1,1
"Thomas Craven papers, 1919-1949, 1975",1,1
"Charlotte Berney research material relating to California artists, circa 1910s-2013, bulk 1980-2002",1,1
"Morris Blackburn papers, 1926-1986",1,1
"Frank Mason papers, 1964-1974",1,1
"Charles C. Stewart scrapbooks, 1953-1985",1,1
"Kathleen Blackshear and Ethel Spears papers, 1920-1991",1,1
"Marta Adams Papers, circa 1914-circa 1991",1,1
"George Julian Zolnay papers, 1899-1992",1,1
"Frank Martin photographs, 1979-1982",1,1
"Porter Blanchard papers, 1914-1983",1,1
"Copley Society records, 1864-1981",1,1
"Francis V. O'Connor papers, 1920-2009",1,1
"Josef Albers letters to J. B. Neumann, 1934-1947",1,1
"Massachusetts College of Art records, 1873-1972",1,1
"Fred Dana Marsh illustrated letters, undated",1,1
"Harry Sternberg papers, 1927-2000",1,1
"Hedda Sterne papers, 1939-1977",1,1
"Ansel Adams correspondence with Imogen Cunningham, 1949-1976",1,1
"Moore College of Art and Design records, 1850-1990",1,1
"Neda Al-Hilali Papers, circa 1960-1995",1,1
"Photographs and letters relating to Mark Tobey murals, circa 1933-1988",1,1
"Edwin H. Blashfield papers, 1850-1980",1,1
"Photographs of sculpture by Joseph Anthony McDonnell, ca. 1964",1,1
"John Henry Bradley Storrs papers, 1790-2007, bulk 1900-1956",1,1
"Henry G. Keller papers, circa 1880-1962",1,1
"Francis Criss papers, 1916-1975, bulk 1940-1969",1,1
"Karl Zerbe papers, 1928-1996",1,1
"Stone and Press Gallery records, 1921-2022",1,1
"WFUV radio interviews relating to art, 1969-1973",1,1
"Edward Darley Boit papers, 1866-1915",1,1
"John Marin autograph manuscript, 1948",1,1
"Art in the National Capitol : speech in the Senate of the United States, July 17, 1866, 1866",1,1
"Photographs and video of self-taught artists, 1985-1989",1,1
"Clarence Ward papers, 1943-1949",1,1
"Nathaniel Currier papers, 1881-1979, bulk 1881-1896 bulk",1,1
"Ben Benn papers, 1905-1993",1,1
"Gabrielle de Veaux Clements papers, 1860-1948",1,1
"Guy Irving Anderson letters, 1940-1979",1,1
"Lorado Taft papers, 1882-1970",1,1
"Annie Lenney papers, 1935-1982",1,1
"Francis Cunningham papers, 1968-1975",1,1
"Arnold Newman photographs of artists, 1940-1961",1,1
"Conrad Marca-Relli letter, 1963 Aug 22",1,1
"Emma Amos papers, circa 1900-2019",1,1
"George Manuel Aarons papers, 1927-1981",1,1
"Juan Sánchez papers, circa 1972-2010",1,1
"Frank C. Kirk papers, 1929-1964",1,1
"Amon Carter Museum of Western Art records, 1961-1983",1,1
"Gutzon Borglum collection, 1926-1981",1,1
"Jan Matulka papers, circa 1920",1,1
"Library Company of Philadelphia Print Dept. photograph collection, ca. 1850-1890",1,1
"Leah Curtiss-Gould papers, 1918-1985",1,1
"Frank Lemon papers, 1890-1943",1,1
"Tamarind Lithography Workshop records, 1954-1984",1,1
"Thomas B. Clarke letters from or about Homer Dodge Martin, 1893-1897",1,1
"Aline Meyer Liebman papers, 1905-1982",1,1
"Correspondence with Charles Sawyer, 1935-1937",1,1
"Dorr Bothwell papers, 1900-2006",1,1
"The magazine antiques, 1956 and 1957",1,1
"Frank Kleinholz papers, 1910s-1980, bulk 1940s-1980",1,1
"Anthony Angarola papers, circa 1910-1988, bulk 1920-1929",1,1
"Bernard Karfiol papers, 1904-1958",1,1
"Judith Clancy papers, 1949-1977",1,1
"Sculpture by Women exhibition records, 1910",1,1
"Edmund C. Tarbell papers, circa 1845-circa 2000, bulk 1885-1938",1,1
"Henry O. Tanner letters to the Pennsylvania Academy of the Fine Arts, 1885-1909",1,1
"Lily Emmet Cushing papers, 1929-1972",1,1
"Rainbow, 1920",1,1
"Linda Lindeberg papers, 1951-1973",1,1
"Yasushi Tanaka letters to Frederic C. Torrey, 1963, 1913-1924",1,1
"Edward M.M. and Mary Whelan Warburg papers, 1931-1980",1,1
"Dorothy Liebes papers, circa 1850-1973, bulk 1922-1970",1,1
"Otis Oldfield papers, 1910-1975",1,1
"Joseph and Estelle Newman papers, 1918-1970",1,1
"American Watercolor Society records, 1867-1977, bulk 1950-1970",1,1
"Margaret Brown Gallery records, 1921-1958",1,1
"Benjamin West collection from the Friends Historical Library, Swarthmore College, 1775-1819",1,1
"Michael Mazur papers, circa 1936-2016",1,1
"Emanuel Benson papers, 1924-1967",1,1
"The Lotus, 1895-1897?",1,1
"Katherine Crum papers regarding Nicholas Wilder and the Nicholas Wilder Gallery, circa 1964-2005",1,1
"Edgar L. Yaeger papers, 1923-1989",1,1
"Myer Abel papers, 1940-1965",1,1
"Jesse Amado papers, circa 1970-2016",1,1
"Keith Warner papers, 1935-1975",1,1
"Fletcher Benton papers, 1934-2014",1,1
"Theodore Bolton papers, 1917-1958",1,1
"Art outlook, 1943-1949",1,1
"Thomas Hart Benton miscellaneous printed material, 1935-1978",1,1
"Samuel Colman papers, 1855-1901",1,1
"Nina Yankowitz papers, circa 1950-2017",1,1
"William Kienbusch papers, 1915-2006, bulk 1936-1980",1,1
"William E. Katzenbach papers, circa 1840-1975",1,1
"Max Cole papers, 1949-2021",1,1
"Charles Culver papers, 1920-1997",1,1
"Earl Shinn photographic portrait, circa 1865",1,1
"Paul King papers, 1871-1977",1,1
"Stephen Stempler papers relating to Arshile Gorky murals, 1977",1,1
"American Handicraft Council records, circa 1937-1940",1,1
"W. Langdon Kihn papers, 1904-1990, bulk 1904-1957",1,1
"Jan Wurm papers, 1966-2013",1,1
"Swetzoff Gallery Records, 1941-1968",1,1
