Title,Total Count,Unique Count
"David Smith miscellaneous papers, ca. 1940-1964",18,12
"The story of the Armory Show / by Walt Kuhn, 1938",18,13
"Selected art related letters from the Lewis Coryell papers, 1836-1867",17,17
"Public Works of Art Project articles and exhibition catalog, 1933-1934",17,17
"Sanford Robinson Gifford papers, 1840s-1900, circa 1960s-1970s",17,12
"Imogen Cunningham papers, 1903-1991",17,4
"Marguerite Wildenhain papers, 1930-1982",17,7
"Detroit Institute of Arts records, 1882-1979",17,13
"Dorothea Gilder papers regarding Cecilia Beaux, 1897-1920",17,1
"Martin Birnbaum papers, 1862-1967, bulk 1920-1967",17,9
"Robert Smithson and Nancy Holt papers, 1905-1987, bulk 1952-1987",16,5
"New York Art Conservation Consortium records, 1976",16,9
"Photographs of sculpture by David Smith, 1965 July",16,11
"Papers relating to the 1913 Armory Show 50th Anniversary Exhibition, circa 1962-1995",16,12
"Kenneth Hayes Miller papers, 1906-1951",16,7
"Metropolitan Museum of Art scrapbooks on American illustrators, 1870-1938",16,15
"Winslow Homer collection, 1863, 1877-1945",16,11
"Charles E. Burchfield letter and exhibition catalog, 1941 and undated",16,8
"Howard Roberts scrapbook and photographs, ca. 1867-1894",16,12
"William and Ethel Baziotes papers, circa 1900-1992, bulk 1935-1980",15,8
"The New York artist, 1940-",15,13
"Violet Oakley papers, 1841-1981",15,5
"Leroy Ireland research material on George Inness, 1916-2007, bulk 1960-1971",15,1
"John White Alexander papers, 1775-1968, bulk 1870-1915",15,9
"Avis Berman research material on Katharine Kuh, 1939-2006",15,11
"Manierre Dawson papers, 1904-1963",15,6
"Abraham Walkowitz papers, 1904-1969",15,12
"Mary Bartlett Cowdrey papers, 1830-1960",15,13
"John Steuart Curry printed material, 1919-1963",15,9
"Michael Goldberg papers, 1942-1981",14,3
"Marsden Hartley papers, 1900-1967",14,13
"Marcel Breuer papers, 1920-1986",14,8
"American Museum of Natural History, Dept. of Anthropology correspondence with Barnett Newman and Betty Parsons, 1944-1946",14,13
"Mark Rothko papers, undated and 1943",14,11
"Louis Bouché papers, 1880-2007",14,12
"Lawrence R. McCoy exhibition catalogs and photograph, 1955-1956",14,12
"National Sculpture Society records, circa 1890-circa 1960",14,13
"Photographs of David Smith, circa 1945-1995",14,12
"Beatrice Wood papers, 1894-1998, bulk 1930-1990",14,12
"William Graham and Graham Gallery papers, 1969-1984",14,10
"Ruth Vollmer papers, circa 1940-1980",14,1
"Reginald Marsh papers, 1897-1955",14,6
"Arthur Wesley Dow papers, circa 1826-1978, bulk 1879-1922",14,8
"History of the Brooklyn Art Association : manuscript, 1970",14,13
"Henry Ossawa Tanner papers, 1860s-1978, bulk 1890-1937",14,10
"Selected art related letters from Historical Society of Pennsylvania's Society Collection, 1760-1935",14,13
"A publication by The New-York etching club with catalogue of etching proofs exhibited at the National Academy of Design, New-York, February 1891, 1891",13,7
"Correspondence and printed material relating to National Art Week, 1940-1941",13,8
"Clay Spohn papers, circa 1862-1985, bulk 1890-1985",13,8
"Papers relating to the sale of George Whitney's art collection, undated",13,13
"Sylvester Rosa Koehler papers, 1833-1904, bulk 1870-1890",13,11
"Emily Genauer papers, circa 1920-1990",13,8
"Lilly Martin Spencer papers, 1828-1966",13,8
"Ted Egri photographs of work for the Federal Art Project, 1938",13,13
"Interview with Roy E. Stryker, circa 1960 Jan",13,8
"Biesel family papers, circa 1859-1983",13,2
"Adolph A. Weinman papers, 1890-1959",13,4
"Receipt for illustrations, 1895 Oct. 15",13,12
"Holger Cahill papers, 1910-1993, bulk 1910-1960",13,11
"Downtown Gallery records, 1824-1974, bulk 1926-1969",13,8
"Thomas Benedict Clarke scrapbooks, 1880-1936, bulk 1883-1920",13,4
"Pennsylvania Academy of the Fine Arts records, 1805-1976",13,13
"Arthur Painter papers of the Federal Art Project, 1938-1941",13,12
"Joseph Stella papers, circa 1900-1970",12,10
"Allen Tupper True and True family papers, 1841-1987",12,5
"Lilla Cabot Perry photographs, ca. 1889-1909",12,7
"Corcoran Gallery of Art records, 1860-1947",12,8
"Margaret D. Engle letters from artists, 1937-1943",12,11
"Ilya Bolotowsky papers, 1937-1980",12,11
"Charles Daniel papers, 1950-1967",12,7
"Albert Bierstadt letter collection, 1860-1900",12,8
"Barbara Frank papers, circa 1970-1992",12,10
"Armory Show (International Exhibition of Modern Art) memorabilia, 1913",12,10
"Herbert Ferber papers, 1932-1987",12,5
"Pierre Matisse Gallery printed material, 1936-1988",12,8
"Thomas Ustick Walter papers, 1829-1887",12,2
"Records relating to Index of American Design Exhibition, 1936-1937",12,10
"Winslow Homer and Homer family papers from the Bowdoin College Museum of Art, 1846-1954",12,5
"Kamekichi Tokita Papers, circa 1900-circa 2010, bulk 1900-1948",12,2
